date,code,value
20151009,000510,3884.11
20151012,000510,4010.97
20151013,000510,4021.72
20151014,000510,3976.79
20151015,000510,4075.89
20151016,000510,4128.46
20151019,000510,4120.39
20151020,000510,4176.75
20151021,000510,4030.38
20151022,000510,4107.30
20151023,000510,4169.25
20151026,000510,4188.41
20151027,000510,4204.23
20151028,000510,4121.57
20151029,000510,4137.68
20151030,000510,4132.92
20151102,000510,4062.58
20151103,000510,4049.31
20151104,000510,4235.35
20151105,000510,4294.27
20151106,000510,4386.37
20151109,000510,4447.41
20151110,000510,4439.34
20151111,000510,4450.19
20151112,000510,4412.12
20151113,000510,4343.33
20151116,000510,4382.91
20151117,000510,4361.76
20151118,000510,4310.75
20151119,000510,4389.22
20151120,000510,4406.45
20151123,000510,4379.40
20151124,000510,4384.48
20151125,000510,4429.31
20151126,000510,4401.67
20151127,000510,4163.29
20151130,000510,4170.38
20151201,000510,4191.32
20151202,000510,4287.67
20151203,000510,4336.08
20151204,000510,4266.76
20151207,000510,4292.09
20151208,000510,4210.24
20151209,000510,4213.54
20151210,000510,4205.34
20151211,000510,4183.58
20151214,000510,4275.66
20151215,000510,4274.35
20151216,000510,4270.81
20151217,000510,4356.96
20151218,000510,4369.32
20151221,000510,4467.50
20151222,000510,4486.12
20151223,000510,4455.26
20151224,000510,4431.41
20151225,000510,4444.89
20151228,000510,4332.77
20151229,000510,4367.41
20151230,000510,4385.42
20151231,000510,4337.75
20160104,000510,4027.59
20160105,000510,4019.86
20160106,000510,4096.09
20160107,000510,3807.74
20160108,000510,3869.99
20160111,000510,3665.75
20160112,000510,3686.68
20160113,000510,3601.06
20160114,000510,3689.57
20160115,000510,3570.15
20160118,000510,3599.00
20160119,000510,3707.88
20160120,000510,3653.89
20160121,000510,3539.20
20160122,000510,3580.01
20160125,000510,3599.24
20160126,000510,3375.81
20160127,000510,3361.76
20160128,000510,3261.12
20160129,000510,3366.62
20160201,000510,3318.80
20160202,000510,3398.02
20160203,000510,3388.47
20160204,000510,3436.25
20160205,000510,3416.33
20160215,000510,3405.87
20160216,000510,3516.93
20160217,000510,3548.58
20160218,000510,3534.73
20160219,000510,3537.78
20160222,000510,3608.26
20160223,000510,3575.60
20160224,000510,3597.78
20160225,000510,3369.64
20160226,000510,3392.41
20160229,000510,3283.99
20160301,000510,3341.94
20160302,000510,3476.12
20160303,000510,3486.24
20160304,000510,3491.78
20160307,000510,3520.36
20160308,000510,3532.09
20160309,000510,3485.73
20160310,000510,3423.68
20160311,000510,3425.13
20160314,000510,3491.81
20160315,000510,3492.89
20160316,000510,3498.50
20160317,000510,3555.51
20160318,000510,3621.58
20160321,000510,3698.89
20160322,000510,3680.81
20160323,000510,3695.81
20160324,000510,3640.52
20160325,000510,3660.28
20160328,000510,3632.01
20160329,000510,3582.50
20160330,000510,3682.87
20160331,000510,3686.93
20160401,000510,3687.15
20160405,000510,3746.09
20160406,000510,3746.26
20160407,000510,3690.22
20160408,000510,3662.94
20160411,000510,3717.26
20160412,000510,3703.16
20160413,000510,3750.54
20160414,000510,3770.23
20160415,000510,3765.99
20160418,000510,3714.85
20160419,000510,3725.21
20160420,000510,3634.86
20160421,000510,3610.90
20160422,000510,3628.71
20160425,000510,3613.43
20160426,000510,3637.13
20160427,000510,3622.65
20160428,000510,3614.53
20160429,000510,3611.11
20160503,000510,3687.06
20160504,000510,3682.23
20160505,000510,3689.35
20160506,000510,3582.94
20160509,000510,3495.87
20160510,000510,3498.82
20160511,000510,3507.43
20160512,000510,3512.57
20160513,000510,3496.97
20160516,000510,3527.50
20160517,000510,3521.05
20160518,000510,3480.27
20160519,000510,3480.84
20160520,000510,3504.11
20160523,000510,3522.12
20160524,000510,3492.58
20160525,000510,3485.42
20160526,000510,3493.41
20160527,000510,3491.38
20160530,000510,3491.53
20160531,000510,3607.10
20160601,000510,3604.59
20160602,000510,3615.44
20160603,000510,3642.55
20160606,000510,3634.98
20160607,000510,3632.22
20160608,000510,3617.82
20160613,000510,3497.91
20160614,000510,3505.84
20160615,000510,3567.34
20160616,000510,3545.65
20160617,000510,3567.36
20160620,000510,3568.90
20160621,000510,3550.29
20160622,000510,3586.07
20160623,000510,3570.07
20160624,000510,3527.39
20160627,000510,3586.18
20160628,000510,3607.74
20160629,000510,3623.75
20160630,000510,3628.75
20160701,000510,3627.53
20160704,000510,3684.80
20160705,000510,3688.56
20160706,000510,3701.30
20160707,000510,3694.33
20160708,000510,3676.88
20160711,000510,3690.09
20160712,000510,3761.39
20160713,000510,3777.55
20160714,000510,3774.68
20160715,000510,3770.94
20160718,000510,3758.15
20160719,000510,3749.35
20160720,000510,3738.21
20160721,000510,3754.75
20160722,000510,3725.75
20160725,000510,3732.73
20160726,000510,3778.11
20160727,000510,3699.21
20160728,000510,3707.60
20160729,000510,3685.65
20160801,000510,3646.55
20160802,000510,3665.46
20160803,000510,3672.38
20160804,000510,3684.11
20160805,000510,3680.27
20160808,000510,3719.51
20160809,000510,3748.87
20160810,000510,3734.01
20160811,000510,3708.91
20160812,000510,3764.93
20160815,000510,3861.78
20160816,000510,3854.03
20160817,000510,3858.05
20160818,000510,3846.31
20160819,000510,3850.38
20160822,000510,3816.12
20160823,000510,3821.63
20160824,000510,3816.17
20160825,000510,3788.56
20160826,000510,3794.20
20160829,000510,3796.30
