日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20130115,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2579.13,2605.41,2576.92,2595.86,18.13,0.70,9862.08,1013.57,300
20130116,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2591.37,2600.09,2540.52,2577.09,-18.76,-0.72,9353.61,955.65,300
20130117,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2570.71,2575.06,2539.67,2552.76,-24.33,-0.94,6991.52,717.16,300
20130118,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2568.69,2607.45,2553.45,2595.44,42.68,1.67,7794.03,774.35,300
20130121,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2605.65,2611.20,2582.65,2610.90,15.46,0.60,8413.37,853.57,300
20130122,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2610.39,2620.03,2578.18,2596.90,-14.00,-0.54,10576.63,1022.61,300
20130123,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2588.20,2611.41,2576.36,2607.46,10.56,0.41,7573.94,727.59,300
20130124,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2606.43,2663.40,2564.21,2582.76,-24.70,-0.95,11127.72,1095.38,300
20130125,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2580.88,2591.51,2567.11,2571.67,-11.08,-0.43,5848.74,606.89,300
20130128,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2577.27,2651.97,2577.27,2651.86,80.19,3.12,9127.48,981.73,300
